,Price,Volume,AttractorLoaded
0,100.35,4,True
1,100.55,5,True
2,100.6,7,True
3,100.55,7,True
4,100.3,4,True
5,100.2,6,True
6,100.3,7,True
7,100.39999999999999,6,True
8,100.24999999999999,5,True
9,99.99999999999999,6,True
10,99.89999999999999,6,True
11,99.85,5,True
12,99.69999999999999,5,True
13,99.79999999999998,8,True
14,99.79999999999998,8,True
15,99.69999999999999,6,True
16,99.69999999999999,7,True
17,99.79999999999998,5,True
18,100.29999999999998,1,True
19,100.44999999999999,6,True
20,100.39999999999999,8,True
21,100.35,7,True
22,100.75,2,True
23,100.45,5,True
24,100.15,5,True
25,99.95,6,True
26,100.35000000000001,4,True
27,100.25000000000001,5,True
28,100.30000000000001,6,True
29,100.60000000000001,5,True
30,100.45,6,True
31,100.8,4,True
32,100.5,4,True
33,100.8,3,True
34,100.75,5,True
35,100.75,8,True
36,100.75,8,True
37,100.6,5,True
38,100.8,6,True
39,100.8,4,True
40,100.8,6,True
41,101.1,3,True
42,101.05,6,True
43,101.14999999999999,7,True
44,100.85,3,True
45,100.64999999999999,7,True
46,100.69999999999999,6,True
47,100.79999999999998,6,True
48,101.04999999999998,4,True
49,101.24999999999999,5,True
50,101.39999999999999,5,True
51,101.3,5,True
52,101.1,5,True
53,101.1,7,True
54,101.05,5,True
55,101.14999999999999,6,True
56,101.24999999999999,7,True
57,101.39999999999999,5,True
58,101.64999999999999,5,True
59,101.64999999999999,8,True
60,101.55,6,True
61,101.8,4,True
62,102.0,4,True
63,101.9,8,True
64,102.10000000000001,6,True
65,101.85000000000001,5,True
66,101.9,7,True
67,101.60000000000001,4,True
68,101.65,5,True
69,101.65,8,True
70,101.65,8,True
71,101.75,7,True
72,101.7,7,True
73,101.55,4,True
74,101.95,2,True
75,101.9,6,True
76,102.15,2,True
77,102.2,5,True
78,102.0,6,True
79,102.05,7,True
80,101.89999999999999,7,True
81,101.89999999999999,6,True
82,101.89999999999999,9,True
83,102.14999999999999,2,True
84,102.24999999999999,7,True
85,102.24999999999999,9,True
86,102.09999999999998,5,True
87,102.19999999999997,4,True
88,102.14999999999998,7,True
89,102.04999999999998,6,True
90,102.19999999999999,5,True
91,102.19999999999999,7,True
92,102.19999999999999,8,True
93,102.29999999999998,5,True
94,102.64999999999998,4,True
95,102.64999999999998,6,True
96,102.59999999999998,6,True
97,102.64999999999998,7,True
98,102.44999999999997,6,True
99,102.49999999999997,5,True
100,102.74999999999997,5,True
101,102.74999999999997,7,True
102,102.59999999999997,6,True
103,102.74999999999997,6,True
104,102.74999999999997,7,True
105,102.89999999999998,5,True
106,103.09999999999998,4,True
107,103.14999999999998,6,True
108,103.04999999999998,7,True
109,103.04999999999998,5,True
110,103.49999999999999,2,True
111,103.49999999999999,6,True
112,103.34999999999998,5,True
113,103.59999999999998,5,True
114,103.59999999999998,8,True
115,103.19999999999997,4,True
116,103.34999999999998,5,True
117,103.29999999999998,7,True
118,103.19999999999999,6,True
119,103.24999999999999,7,True
120,103.39999999999999,7,True
121,103.35,6,True
122,103.05,4,True
123,103.0,7,True
124,103.0,7,True
125,103.1,6,True
126,103.19999999999999,5,True
127,103.35,7,True
128,103.39999999999999,7,True
129,103.24999999999999,5,True
130,103.09999999999998,5,True
131,103.49999999999999,2,True
132,103.64999999999999,6,True
133,103.49999999999999,5,True
134,103.34999999999998,5,True
135,103.19999999999997,6,True
136,103.14999999999998,8,True
137,103.04999999999998,6,True
138,102.64999999999998,4,True
139,103.14999999999998,0,True
140,103.34999999999998,5,True
141,103.29999999999998,7,True
142,103.44999999999999,5,True
143,103.54999999999998,6,True
144,103.59999999999998,7,True
145,103.69999999999997,6,True
146,103.54999999999997,5,True
147,103.29999999999997,5,True
148,103.29999999999997,6,True
149,103.34999999999997,7,True
150,103.24999999999997,5,True
151,103.24999999999997,7,True
152,103.19999999999997,6,True
153,103.24999999999997,6,True
154,103.19999999999997,9,True
155,103.19999999999997,7,True
156,103.14999999999998,7,True
157,103.54999999999998,3,True
158,103.24999999999999,5,True
159,102.99999999999999,5,True
160,102.99999999999999,6,True
161,103.14999999999999,6,True
162,102.74999999999999,2,True
163,102.84999999999998,6,True
164,102.79999999999998,7,True
165,102.39999999999998,2,True
166,102.54999999999998,4,True
167,102.54999999999998,5,True
168,102.54999999999998,8,True
169,102.49999999999999,4,True
170,102.49999999999999,7,True
171,102.54999999999998,6,True
172,102.59999999999998,7,True
173,102.49999999999999,6,True
174,102.54999999999998,7,True
175,102.44999999999999,5,True
176,102.39999999999999,5,True
177,102.49999999999999,5,True
178,102.39999999999999,7,True
179,102.49999999999999,6,True
180,102.34999999999998,4,True
181,102.64999999999998,4,True
182,103.14999999999998,3,True
183,103.39999999999998,5,True
184,103.34999999999998,7,True
185,103.34999999999998,7,True
186,103.54999999999998,5,True
187,103.64999999999998,6,True
188,103.24999999999997,3,True
189,103.34999999999997,4,True
190,103.09999999999997,5,True
191,103.09999999999997,7,True
192,103.24999999999997,7,True
193,103.19999999999997,6,True
194,102.99999999999997,4,True
195,103.19999999999997,5,True
196,103.39999999999998,5,True
197,103.44999999999997,7,True
198,103.54999999999997,8,True
199,103.39999999999996,6,True
