Ticker,MeanPrice,FinalPrice,TotalVolume,PriceVolatility (StdDev),AttractorFileUsed
A,100.30624999999998,99.84999999999997,1105,0.5708350909019393,True
AAPL,100.23100000000004,100.95000000000006,1114,0.7550260403509735,True
ABBV,101.40974999999995,101.2499999999999,1120,0.5588416209324536,True
ABNB,97.48200000000001,98.84999999999997,1082,1.0416699966445861,True
ABT,106.13375000000005,106.75000000000004,1095,1.9249612506705145,True
ACGL,100.50325000000004,99.85000000000012,1097,0.46780997033164484,True
ACN,98.63850000000002,97.2,1059,1.2656727013468676,True
ADBE,98.51225000000001,97.35,1104,0.8880204610232664,True
ADI,98.463,96.59999999999997,1063,0.9211534172386727,True
ADM,99.81149999999998,98.5,1063,0.6271036957522517,True
ADP,100.35199999999999,101.5,1116,0.8051161781392191,True
ADSK,98.31100000000006,96.55000000000008,1089,1.1527459024337656,True
AEE,101.39875000000008,103.40000000000012,1116,0.9986981161170443,True
AEP,101.81899999999995,104.34999999999992,1094,0.9942998344583878,True
AES,98.51500000000007,99.50000000000006,1107,1.0213548987231083,True
AFL,100.98399999999998,101.5,1081,0.6798011828771651,True
AIG,100.73899999999998,99.35,1099,0.6304692357969789,True
AIZ,98.35549999999999,96.35000000000002,1111,0.9391510921408409,True
AJG,100.26274999999998,100.94999999999996,1143,0.5320860034575071,True
AKAM,104.50899999999997,105.54999999999995,1090,2.0988137352984255,True
ALB,99.78074999999997,99.14999999999996,1108,0.42202781291565666,True
ALGN,101.31800000000001,103.35000000000002,1092,1.1732041766892187,True
ALL,101.5745,101.69999999999996,1129,0.5876875302112776,True
ALLE,100.87924999999997,101.44999999999992,1084,0.8958485702416257,True
AMAT,98.34875,98.10000000000004,1111,0.8001167863876454,True
AMCR,99.72275000000003,99.85000000000012,1098,0.7139809391062515,True
AMD,100.50549999999997,100.44999999999992,1087,0.5607512459183609,True
AME,100.33099999999999,100.54999999999994,1095,0.4587934799955788,True
AMGN,100.65999999999998,101.79999999999995,1089,1.2100500425716363,True
AMT,99.21775,97.09999999999994,1113,0.7388857817636487,True
AMZN,100.21849999999999,100.89999999999998,1097,0.37093898237205675,True
ANET,96.75400000000002,95.0,1081,1.3234962074200556,True
ANSS,100.86500000000005,102.65000000000008,1082,1.0801312036440158,True
AON,100.43149999999996,99.44999999999996,1070,0.7077870886178196,True
AOS,99.49825000000001,100.9,1093,0.8343802427234472,True
APA,100.36575000000005,101.75000000000009,1114,0.6514687214094628,True
APD,99.9595,101.85000000000008,1083,0.6724923641941983,True
APH,99.23499999999996,99.24999999999996,1060,0.5497372602219888,True
APO,99.22124999999997,98.45,1108,1.0359303528615709,True
APTV,98.67374999999998,98.19999999999996,1094,0.7335967957904176,True
ARE,100.35799999999996,102.09999999999997,1142,0.9344124534518061,True
ATO,98.21250000000002,96.80000000000004,1067,0.8783800473244333,True
AVB,102.03275,104.70000000000005,1134,1.0734647504002233,True
AVGO,98.52374999999992,97.8999999999999,1089,0.6692067136753453,True
AVY,102.92149999999998,104.89999999999992,1057,2.055752500109993,True
AWK,98.78724999999999,96.29999999999998,1095,1.394353270413781,True
AXON,98.93975,97.09999999999998,1094,0.8641418536421461,True
AXP,98.66049999999991,96.84999999999988,1095,1.0851856474572876,True
AZO,98.22050000000003,97.00000000000004,1122,1.1138595808400187,True
BA,101.49625000000002,102.80000000000004,1097,1.3163824487041287,True
BAC,102.22849999999997,102.24999999999996,1090,1.4064505915003358,True
BALL,99.59200000000001,100.34999999999997,1106,0.7449906410663057,True
BAX,101.53324999999995,99.99999999999991,1102,1.2411321373697812,True
BBY,99.08774999999997,97.69999999999996,1114,1.1070865551995237,True
BDX,100.74574999999999,101.44999999999996,1087,0.6131879276970136,True
BEN,100.30475000000003,100.35000000000004,1103,0.37689546089361636,True
BF.B,102.39150000000004,104.65000000000003,1076,1.479526187228033,True
BG,101.51775000000005,100.25000000000009,1069,1.0096506373730492,True
BIIB,97.84700000000001,96.6,1111,0.9758083879790315,True
BK,100.68225000000001,99.1,1114,0.9841826634702373,True
BKNG,100.30649999999996,99.24999999999994,1141,0.5096138551953207,True
BKR,98.63800000000003,98.50000000000004,1103,1.031041333388606,True
BLDR,98.69024999999999,97.94999999999996,1064,1.0636017492015093,True
BLK,103.27899999999994,103.74999999999996,1072,1.8424800306425455,True
