,Price,Volume,AttractorLoaded
0,99.9,7,True
1,100.0,7,True
2,100.15,4,True
3,100.2,6,True
4,100.35000000000001,4,True
5,100.30000000000001,7,True
6,100.30000000000001,9,True
7,100.10000000000001,5,True
8,100.2,6,True
9,99.95,4,True
10,100.05,5,True
11,100.1,7,True
12,100.0,5,True
13,100.05,6,True
14,100.05,7,True
15,99.89999999999999,6,True
16,100.05,6,True
17,100.1,6,True
18,100.05,6,True
19,100.45,3,True
20,100.4,6,True
21,100.15,5,True
22,100.25,8,True
23,100.15,5,True
24,100.30000000000001,5,True
25,100.45000000000002,6,True
26,100.65000000000002,5,True
27,100.45000000000002,7,True
28,100.70000000000002,4,True
29,101.15000000000002,4,True
30,101.50000000000001,4,True
31,101.30000000000001,4,True
32,101.50000000000001,4,True
33,101.55000000000001,6,True
34,101.65,5,True
35,101.75,5,True
36,101.95,4,True
37,101.7,5,True
38,101.8,4,True
39,101.8,6,True
40,101.7,5,True
41,101.60000000000001,6,True
42,101.9,5,True
43,101.95,6,True
44,101.65,4,True
45,101.55000000000001,5,True
46,101.45000000000002,5,True
47,101.20000000000002,4,True
48,100.85000000000002,4,True
49,100.80000000000003,6,True
50,100.95000000000003,4,True
51,100.45000000000003,1,True
52,100.15000000000003,6,True
53,99.75000000000003,4,True
54,99.95000000000003,4,True
55,99.65000000000003,3,True
56,99.50000000000003,6,True
57,99.80000000000003,6,True
58,99.70000000000003,4,True
59,99.95000000000003,5,True
60,99.75000000000003,5,True
61,99.90000000000003,5,True
62,99.95000000000003,7,True
63,99.70000000000003,4,True
64,99.95000000000003,6,True
65,100.05000000000003,7,True
66,100.35000000000002,3,True
67,100.45000000000002,5,True
68,100.55000000000001,5,True
69,100.60000000000001,7,True
70,100.85000000000001,4,True
71,100.9,6,True
72,101.0,6,True
73,100.85,5,True
74,101.05,5,True
75,101.1,8,True
76,101.0,5,True
77,100.95,7,True
78,100.9,6,True
79,101.05000000000001,4,True
80,101.25000000000001,6,True
81,101.30000000000001,4,True
82,101.55000000000001,3,True
83,101.50000000000001,6,True
84,101.75000000000001,5,True
85,101.80000000000001,5,True
86,101.60000000000001,4,True
87,101.55000000000001,7,True
88,101.50000000000001,7,True
89,101.25000000000001,4,True
90,101.45000000000002,5,True
91,101.50000000000001,6,True
92,101.20000000000002,4,True
93,101.15000000000002,7,True
94,101.20000000000002,6,True
95,101.00000000000001,4,True
96,101.30000000000001,5,True
97,101.65,5,True
98,101.60000000000001,7,True
99,101.25000000000001,2,True
100,101.20000000000002,6,True
101,100.90000000000002,5,True
102,101.20000000000002,6,True
103,101.10000000000002,5,True
104,101.05000000000003,6,True
105,101.00000000000003,7,True
106,100.80000000000003,5,True
107,101.05000000000003,5,True
108,100.85000000000002,5,True
109,100.65000000000002,5,True
110,100.40000000000002,4,True
111,100.45000000000002,8,True
112,100.50000000000001,6,True
113,101.00000000000001,2,True
114,100.80000000000001,5,True
115,100.9,6,True
116,100.9,7,True
117,101.25,3,True
118,101.2,6,True
119,101.25,6,True
120,101.1,6,True
121,101.1,7,True
122,100.69999999999999,2,True
123,100.79999999999998,6,True
124,100.84999999999998,8,True
125,100.69999999999997,5,True
126,100.69999999999997,6,True
127,101.09999999999998,3,True
128,100.89999999999998,6,True
129,100.79999999999998,6,True
130,100.89999999999998,8,True
131,100.89999999999998,6,True
132,101.09999999999998,5,True
133,101.04999999999998,6,True
134,100.94999999999999,5,True
135,100.89999999999999,7,True
136,101.19999999999999,4,True
137,101.35,6,True
138,101.5,6,True
139,101.85,4,True
140,101.75,7,True
141,101.8,6,True
142,101.8,6,True
143,101.95,4,True
144,101.85000000000001,5,True
145,101.65,4,True
146,101.7,8,True
147,102.15,3,True
148,102.10000000000001,5,True
149,102.10000000000001,7,True
150,102.00000000000001,5,True
151,101.70000000000002,1,True
152,101.95000000000002,5,True
153,101.80000000000001,5,True
154,101.80000000000001,5,True
155,101.60000000000001,5,True
156,101.7,6,True
157,101.7,7,True
158,101.65,7,True
159,101.55000000000001,6,True
160,101.35000000000001,5,True
161,101.35000000000001,8,True
162,101.25000000000001,7,True
163,101.20000000000002,8,True
164,101.35000000000002,5,True
165,101.45000000000002,6,True
166,101.50000000000001,7,True
167,101.45000000000002,6,True
168,101.75000000000001,3,True
169,101.90000000000002,4,True
170,101.90000000000002,8,True
171,102.15000000000002,5,True
172,102.15000000000002,7,True
173,102.20000000000002,7,True
174,102.00000000000001,7,True
175,101.80000000000001,7,True
176,102.20000000000002,2,True
177,102.35000000000002,6,True
178,102.30000000000003,7,True
179,102.10000000000002,4,True
180,102.05000000000003,7,True
181,101.80000000000003,5,True
182,102.00000000000003,6,True
183,101.95000000000003,8,True
184,102.05000000000003,5,True
185,101.90000000000002,7,True
186,101.65000000000002,4,True
187,101.75000000000001,6,True
188,101.90000000000002,6,True
189,101.95000000000002,6,True
190,101.60000000000002,4,True
191,101.45000000000002,8,True
192,102.00000000000001,2,True
193,102.05000000000001,6,True
194,101.85000000000001,6,True
195,101.65,7,True
196,101.2,3,True
197,101.05,5,True
198,100.95,7,True
199,101.15,4,True
