RunId,iteration,Step,num_agents,influence_strength,initial_price,price_impact_factor,ticker_for_attractor,attractor_stats_base_path,Price,Volume,AttractorLoaded
0,0,100,10,0.0,100.0,0.05,AAPL,stock_analysis_results,101.04999999999998,3,False
1,0,100,10,0.5,100.0,0.05,AAPL,stock_analysis_results,100.55,2,False
2,0,100,10,1.0,100.0,0.05,AAPL,stock_analysis_results,98.95000000000003,3,False
3,0,100,20,0.0,100.0,0.05,AAPL,stock_analysis_results,96.75,7,False
4,0,100,20,0.5,100.0,0.05,AAPL,stock_analysis_results,102.05000000000001,8,False
5,0,100,20,1.0,100.0,0.05,AAPL,stock_analysis_results,101.65000000000002,3,False
6,0,100,30,0.0,100.0,0.05,AAPL,stock_analysis_results,99.10000000000002,8,False
7,0,100,30,0.5,100.0,0.05,AAPL,stock_analysis_results,103.94999999999999,11,False
8,0,100,30,1.0,100.0,0.05,AAPL,stock_analysis_results,95.95000000000002,9,False
9,1,100,10,0.0,100.0,0.05,AAPL,stock_analysis_results,97.64999999999999,3,False
10,1,100,10,0.5,100.0,0.05,AAPL,stock_analysis_results,100.94999999999996,4,False
11,1,100,10,1.0,100.0,0.05,AAPL,stock_analysis_results,102.34999999999998,1,False
12,1,100,20,0.0,100.0,0.05,AAPL,stock_analysis_results,103.24999999999997,8,False
13,1,100,20,0.5,100.0,0.05,AAPL,stock_analysis_results,99.55000000000001,4,False
14,1,100,20,1.0,100.0,0.05,AAPL,stock_analysis_results,99.00000000000003,5,False
15,1,100,30,0.0,100.0,0.05,AAPL,stock_analysis_results,97.75000000000004,9,False
16,1,100,30,0.5,100.0,0.05,AAPL,stock_analysis_results,93.74999999999999,9,False
17,1,100,30,1.0,100.0,0.05,AAPL,stock_analysis_results,102.24999999999996,10,False
18,2,100,10,0.0,100.0,0.05,AAPL,stock_analysis_results,99.15,2,False
19,2,100,10,0.5,100.0,0.05,AAPL,stock_analysis_results,100.99999999999999,3,False
20,2,100,10,1.0,100.0,0.05,AAPL,stock_analysis_results,98.85000000000001,3,False
21,2,100,20,0.0,100.0,0.05,AAPL,stock_analysis_results,100.79999999999995,4,False
22,2,100,20,0.5,100.0,0.05,AAPL,stock_analysis_results,98.65000000000003,6,False
23,2,100,20,1.0,100.0,0.05,AAPL,stock_analysis_results,103.49999999999997,6,False
24,2,100,30,0.0,100.0,0.05,AAPL,stock_analysis_results,102.65000000000002,9,False
25,2,100,30,0.5,100.0,0.05,AAPL,stock_analysis_results,98.54999999999997,6,False
26,2,100,30,1.0,100.0,0.05,AAPL,stock_analysis_results,101.55,10,False
27,3,100,10,0.0,100.0,0.05,AAPL,stock_analysis_results,100.64999999999993,2,False
28,3,100,10,0.5,100.0,0.05,AAPL,stock_analysis_results,97.94999999999997,2,False
29,3,100,10,1.0,100.0,0.05,AAPL,stock_analysis_results,97.60000000000005,1,False
30,3,100,20,0.0,100.0,0.05,AAPL,stock_analysis_results,102.64999999999993,4,False
31,3,100,20,0.5,100.0,0.05,AAPL,stock_analysis_results,99.55000000000001,7,False
32,3,100,20,1.0,100.0,0.05,AAPL,stock_analysis_results,100.20000000000006,4,False
33,3,100,30,0.0,100.0,0.05,AAPL,stock_analysis_results,99.04999999999998,9,False
34,3,100,30,0.5,100.0,0.05,AAPL,stock_analysis_results,104.45,11,False
35,3,100,30,1.0,100.0,0.05,AAPL,stock_analysis_results,100.05000000000005,4,False
36,4,100,10,0.0,100.0,0.05,AAPL,stock_analysis_results,99.90000000000013,3,False
37,4,100,10,0.5,100.0,0.05,AAPL,stock_analysis_results,100.34999999999997,1,False
38,4,100,10,1.0,100.0,0.05,AAPL,stock_analysis_results,97.69999999999997,4,False
39,4,100,20,0.0,100.0,0.05,AAPL,stock_analysis_results,100.45000000000006,7,False
40,4,100,20,0.5,100.0,0.05,AAPL,stock_analysis_results,103.45000000000003,7,False
41,4,100,20,1.0,100.0,0.05,AAPL,stock_analysis_results,100.24999999999996,5,False
42,4,100,30,0.0,100.0,0.05,AAPL,stock_analysis_results,99.50000000000006,10,False
43,4,100,30,0.5,100.0,0.05,AAPL,stock_analysis_results,100.70000000000003,9,False
44,4,100,30,1.0,100.0,0.05,AAPL,stock_analysis_results,96.20000000000003,10,False
