,Price,Volume,AttractorLoaded
0,100.45,681,True
1,101.0,698,True
2,104.2,659,True
3,107.2,666,True
4,108.15,693,True
5,106.2,680,True
6,106.60000000000001,702,True
7,103.2,657,True
8,104.0,694,True
9,101.25,673,True
10,100.75,704,True
11,99.6,679,True
12,98.25,678,True
13,95.85,671,True
14,96.89999999999999,681,True
15,97.3,684,True
16,95.85,697,True
17,95.5,686,True
18,95.65,704,True
19,95.5,718,True
20,96.2,688,True
21,95.5,686,True
22,97.8,669,True
23,97.5,689,True
24,96.75,686,True
25,98.55,703,True
26,99.39999999999999,679,True
27,98.8,683,True
28,98.35,698,True
29,100.44999999999999,681,True
30,100.14999999999999,676,True
31,102.49999999999999,676,True
32,104.89999999999999,680,True
33,102.1,665,True
34,104.85,671,True
35,106.5,680,True
36,104.7,688,True
37,107.45,659,True
38,110.7,678,True
39,109.85000000000001,698,True
40,112.4,678,True
41,112.4,718,True
42,111.55000000000001,694,True
43,111.50000000000001,686,True
44,110.50000000000001,703,True
45,110.90000000000002,706,True
46,111.85000000000002,698,True
47,116.70000000000002,661,True
48,118.00000000000001,678,True
49,118.55000000000001,698,True
50,120.00000000000001,684,True
51,117.95000000000002,688,True
52,118.35000000000002,676,True
53,119.10000000000002,678,True
54,116.55000000000003,683,True
55,115.45000000000003,699,True
56,114.05000000000003,700,True
57,114.65000000000002,703,True
58,117.20000000000002,673,True
59,117.45000000000002,706,True
60,114.90000000000002,671,True
61,114.95000000000002,688,True
62,117.65000000000002,683,True
63,118.85000000000002,705,True
64,119.40000000000002,695,True
65,120.00000000000001,701,True
66,120.45000000000002,680,True
67,120.95000000000002,698,True
68,121.65000000000002,680,True
69,122.10000000000002,692,True
70,118.70000000000002,666,True
71,117.30000000000001,690,True
72,116.05000000000001,700,True
73,113.60000000000001,696,True
74,110.00000000000001,659,True
75,107.40000000000002,691,True
76,104.30000000000003,663,True
77,104.60000000000002,696,True
78,104.00000000000003,679,True
79,103.15000000000003,688,True
80,104.35000000000004,692,True
81,103.60000000000004,692,True
82,103.05000000000004,689,True
83,104.45000000000005,692,True
84,103.95000000000005,690,True
85,105.75000000000004,673,True
86,101.25000000000004,646,True
87,102.20000000000005,668,True
88,101.15000000000005,682,True
89,104.30000000000005,659,True
90,105.25000000000006,697,True
91,104.25000000000006,684,True
92,105.10000000000005,698,True
93,107.45000000000005,685,True
94,104.55000000000004,683,True
95,104.90000000000003,677,True
96,104.25000000000003,706,True
97,104.20000000000003,697,True
98,101.95000000000003,678,True
99,101.45000000000003,695,True
100,99.05000000000003,683,True
101,99.05000000000003,687,True
102,99.15000000000002,696,True
103,98.25000000000001,699,True
104,98.65000000000002,690,True
105,99.60000000000002,718,True
106,99.50000000000003,704,True
107,98.00000000000003,678,True
108,96.55000000000003,688,True
109,94.95000000000003,665,True
110,96.20000000000003,705,True
111,98.65000000000003,682,True
112,101.45000000000003,666,True
113,104.60000000000004,689,True
114,106.05000000000004,701,True
115,105.90000000000003,677,True
116,103.00000000000003,671,True
117,107.35000000000002,662,True
118,110.30000000000003,678,True
119,109.05000000000003,698,True
120,108.80000000000003,699,True
121,112.25000000000003,674,True
122,109.40000000000003,675,True
123,109.90000000000003,681,True
124,111.30000000000004,700,True
125,109.20000000000005,659,True
126,109.30000000000004,702,True
127,105.75000000000004,661,True
128,104.05000000000004,671,True
129,103.85000000000004,701,True
130,103.65000000000003,690,True
131,107.05000000000004,676,True
132,106.50000000000004,700,True
133,104.55000000000004,685,True
134,105.20000000000005,690,True
135,105.95000000000005,697,True
136,102.55000000000004,670,True
137,102.50000000000004,711,True
138,103.35000000000004,688,True
139,105.60000000000004,669,True
140,103.55000000000004,669,True
141,101.20000000000005,696,True
142,102.05000000000004,701,True
143,100.90000000000003,689,True
144,103.65000000000003,679,True
145,105.95000000000003,678,True
146,105.10000000000004,700,True
147,106.10000000000004,686,True
148,104.60000000000004,674,True
149,104.40000000000003,698,True
150,102.95000000000003,678,True
151,99.55000000000003,650,True
152,98.35000000000002,706,True
153,100.25000000000003,669,True
154,96.65000000000003,651,True
155,96.05000000000004,681,True
156,94.45000000000005,683,True
157,96.00000000000004,686,True
158,98.25000000000004,680,True
159,97.15000000000005,690,True
160,97.10000000000005,696,True
161,95.60000000000005,685,True
162,99.35000000000005,663,True
163,99.85000000000005,679,True
164,100.70000000000005,686,True
165,103.15000000000005,673,True
166,106.35000000000005,658,True
167,106.55000000000005,727,True
168,107.20000000000006,706,True
169,104.45000000000006,671,True
170,108.25000000000006,671,True
171,110.15000000000006,658,True
172,110.70000000000006,698,True
173,111.30000000000005,694,True
174,111.20000000000006,701,True
175,109.50000000000006,690,True
176,110.40000000000006,687,True
177,109.10000000000007,677,True
178,108.10000000000007,670,True
179,108.45000000000006,699,True
180,107.75000000000006,680,True
181,109.05000000000005,675,True
182,113.80000000000005,652,True
183,116.50000000000006,680,True
184,117.10000000000005,692,True
185,116.65000000000005,689,True
186,117.90000000000005,679,True
187,118.35000000000005,693,True
188,118.60000000000005,678,True
189,119.50000000000006,693,True
190,119.35000000000005,701,True
191,120.65000000000005,698,True
192,123.80000000000005,660,True
193,125.40000000000005,690,True
194,123.10000000000005,663,True
195,122.35000000000005,683,True
196,126.30000000000005,673,True
197,123.95000000000006,663,True
198,122.50000000000006,687,True
199,119.15000000000006,663,True
