,Price,Volume,AttractorLoaded
0,100.2,3,True
1,100.3,7,True
2,100.3,7,True
3,100.39999999999999,7,True
4,100.35,4,True
5,100.75,4,True
6,100.75,7,True
7,100.7,7,True
8,100.75,5,True
9,100.45,3,True
10,100.45,6,True
11,100.3,6,True
12,99.95,4,True
13,99.65,4,True
14,99.75,5,True
15,100.0,3,True
16,99.8,4,True
17,99.8,7,True
18,100.2,2,True
19,100.2,8,True
20,100.15,6,True
21,100.25,6,True
22,100.35,7,True
23,100.3,7,True
24,100.2,6,True
25,100.0,7,True
26,99.75,5,True
27,99.75,8,True
28,99.75,7,True
29,99.85,6,True
30,100.05,6,True
31,100.05,7,True
32,100.0,7,True
33,99.95,6,True
34,99.95,4,True
35,100.0,7,True
36,99.85,6,True
37,99.75,7,True
38,99.55,5,True
39,99.6,8,True
40,99.25,4,True
41,99.15,6,True
42,98.80000000000001,5,True
43,98.95000000000002,6,True
44,99.00000000000001,7,True
45,98.90000000000002,6,True
46,98.90000000000002,6,True
47,98.95000000000002,6,True
48,98.70000000000002,5,True
49,98.40000000000002,4,True
50,98.20000000000002,4,True
51,98.25000000000001,8,True
52,98.00000000000001,4,True
53,97.85000000000001,7,True
54,97.9,7,True
55,97.60000000000001,3,True
56,97.25000000000001,5,True
57,97.10000000000001,5,True
58,97.2,7,True
59,97.7,2,True
60,98.35000000000001,0,True
61,98.45,6,True
62,98.5,5,True
63,98.65,6,True
64,98.80000000000001,5,True
65,98.95000000000002,5,True
66,98.90000000000002,6,True
67,98.50000000000001,3,True
68,98.60000000000001,6,True
69,98.55000000000001,6,True
70,98.65,5,True
71,98.65,8,True
72,98.75,7,True
73,98.7,6,True
74,99.05,2,True
75,99.14999999999999,7,True
76,99.3,8,True
77,99.39999999999999,6,True
78,99.3,7,True
79,99.3,8,True
80,99.25,7,True
81,99.4,7,True
82,99.4,6,True
83,99.45,5,True
84,99.8,5,True
85,99.89999999999999,5,True
86,99.24999999999999,2,True
87,99.64999999999999,3,True
88,99.64999999999999,6,True
89,99.49999999999999,6,True
90,99.64999999999999,5,True
91,99.64999999999999,7,True
92,99.55,5,True
93,99.3,5,True
94,99.5,5,True
95,99.6,5,True
96,99.5,6,True
97,99.7,5,True
98,99.3,3,True
99,99.1,6,True
100,99.1,7,True
101,99.14999999999999,8,True
102,98.99999999999999,5,True
103,98.89999999999999,5,True
104,99.05,7,True
105,99.3,4,True
106,99.39999999999999,5,True
107,99.39999999999999,8,True
108,99.3,5,True
109,99.39999999999999,6,True
110,99.39999999999999,5,True
111,99.6,5,True
112,99.64999999999999,5,True
113,99.55,6,True
114,99.25,1,True
115,99.0,6,True
116,99.5,2,True
117,99.45,8,True
118,99.3,5,True
119,99.25,5,True
120,98.95,5,True
121,98.85000000000001,7,True
122,98.95,6,True
123,99.05,4,True
124,99.1,6,True
125,99.19999999999999,6,True
126,98.89999999999999,4,True
127,98.8,6,True
128,98.95,6,True
129,98.9,8,True
130,98.9,7,True
131,99.0,4,True
132,99.15,7,True
133,99.0,5,True
134,98.85,6,True
135,98.75,4,True
136,98.95,4,True
137,98.85000000000001,4,True
138,98.60000000000001,4,True
139,98.7,6,True
140,98.5,5,True
141,98.85,5,True
142,98.8,8,True
143,98.39999999999999,4,True
144,98.55,5,True
145,98.55,5,True
146,98.7,5,True
147,98.35000000000001,4,True
148,98.45,6,True
149,98.65,7,True
150,98.75,6,True
151,98.6,5,True
152,98.6,6,True
153,98.39999999999999,4,True
154,98.3,7,True
155,98.45,5,True
156,98.4,5,True
157,98.2,5,True
158,98.10000000000001,7,True
159,98.10000000000001,8,True
160,98.50000000000001,2,True
161,98.30000000000001,4,True
162,98.70000000000002,3,True
163,98.60000000000002,6,True
164,98.55000000000003,7,True
165,98.70000000000003,7,True
166,98.65000000000003,5,True
167,98.25000000000003,3,True
168,98.35000000000002,5,True
169,98.50000000000003,5,True
170,98.60000000000002,6,True
171,98.40000000000002,6,True
172,98.75000000000001,4,True
173,98.95000000000002,5,True
174,98.55000000000001,5,True
175,98.15,2,True
176,98.05000000000001,5,True
177,98.25000000000001,5,True
178,98.30000000000001,5,True
179,97.85000000000001,2,True
180,97.95,7,True
181,97.95,7,True
182,97.60000000000001,5,True
183,97.7,7,True
184,97.75,5,True
185,97.8,6,True
186,97.6,5,True
187,97.44999999999999,5,True
188,97.35,7,True
189,97.19999999999999,6,True
190,97.24999999999999,4,True
191,97.24999999999999,7,True
192,97.04999999999998,6,True
193,97.14999999999998,6,True
194,97.09999999999998,6,True
195,97.19999999999997,5,True
196,97.24999999999997,7,True
197,97.24999999999997,6,True
198,97.19999999999997,7,True
199,97.09999999999998,5,True
