datetime,open,high,low,close,volume
2020-05-21 20:30:00,240.42,243.09,236.46,239.84,601855.0
2020-05-22 20:30:00,239.39,240.28,235.47,239.25,330439.0
2020-05-26 20:30:00,250.03,254.46,247.16,247.91,724702.0
2020-05-27 20:30:00,256.04,263.89,247.39,249.96,940567.0
2020-05-28 20:30:00,253.62,253.62,246.945,247.45,930411.0
2020-05-29 20:30:00,246.44,246.44,239.04,243.79,1003349.0
2020-06-01 20:30:00,244.1,248.33,242.87,246.43,675678.0
2020-06-02 20:30:00,248.5,250.42,246.69,249.89,844902.0
2020-06-03 20:30:00,253.3,257.135,250.715,256.72,1396883.0
2020-06-04 20:30:00,251.73,257.47,251.41,257.31,1089601.0
2020-06-05 20:30:00,265.26,283.4,263.66,282.43,2112493.0
2020-06-08 20:30:00,282.45,284.21,273.79,277.12,1386912.0
2020-06-09 20:30:00,274.81,278.24,270.5,276.61,853386.0
2020-06-10 20:30:00,276.77,276.81,270.72,273.27,856786.0
2020-06-11 20:30:00,263.16,265.21,255.64,256.42,1494669.0
2020-06-12 20:30:00,264.64,266.95,252.1175,258.99,815239.0
2020-06-15 20:30:00,251.25,259.62,248.37,258.73,613157.0
2020-06-16 20:30:00,268.69,272.42,259.785,262.41,608783.0
2020-06-17 20:30:00,262.93,264.01,257.17,258.25,564760.0
2020-06-18 20:30:00,253.86,261.96,251.68,261.33,986489.0
2020-06-19 20:30:00,266.64,267.565,261.85,264.32,1527573.0
2020-06-22 20:30:00,262.95,267.625,260.695,264.35,606258.0
2020-06-23 20:30:00,266.73,268.18,263.32,263.92,442691.0
2020-06-24 20:30:00,260.7,261.105,245.98,246.39,1058753.0
2020-06-25 20:30:00,245.28,247.96,242.97,246.89,810304.0
2020-06-26 20:30:00,246.03,247.1,237.74,238.52,969192.0
2020-06-29 20:30:00,241.43,246.27,237.84,246.15,496072.0
2020-06-30 20:30:00,245.66,253.31,244.5,251.53,779585.0
2020-07-01 20:30:00,251.5,256.08,249.89,254.69,609824.0
2020-07-02 20:30:00,257.53,261.8,253.9117,254.84,611330.0
2020-07-06 20:30:00,255.68,262.02,254.58,256.19,441298.0
2020-07-07 20:30:00,254.46,259.61,251.6,252.77,597610.0
2020-07-08 20:30:00,253.64,257.3,250.62,253.64,862630.0
2020-07-09 20:30:00,259.77,261.14,250.61,253.33,692311.0
2020-07-10 20:30:00,252.12,254.12,249.18,253.01,445400.0
2020-07-13 20:30:00,255.36,257.41,247.79,248.3,729519.0
2020-07-14 20:30:00,246.71,249.4,240.98,249.1,587226.0
2020-07-15 20:30:00,253.83,266.57,252.95,265.79,708938.0
2020-07-16 20:30:00,263.65,265.93,260.01,260.29,593029.0
2020-07-17 20:30:00,261.43,262.73,256.49,259.07,439064.0
2020-07-20 20:30:00,258.11,260.89,256.31,259.45,368636.0
2020-07-21 20:30:00,261.54,262.185,257.25,258.16,438261.0
2020-07-22 20:30:00,258.56,262.58,258.44,262.18,318468.0
2020-07-23 20:30:00,261.98,264.12,256.65,259.34,602794.0
2020-07-24 20:30:00,258.13,261.425,255.35,258.08,421021.0
2020-07-27 20:30:00,258.77,259.75,256.74,258.48,335255.0
2020-07-28 20:30:00,258.38,261.155,256.15,256.22,417346.0
2020-07-29 20:30:00,257.75,266.79,257.72,264.76,421985.0
2020-07-30 20:30:00,260.63,260.9,251.325,259.49,426774.0
2020-07-31 20:30:00,259.72,259.72,254.09,258.57,332788.0
2020-08-03 20:30:00,258.65,263.57,255.5,263.21,476252.0
2020-08-04 20:30:00,260.77,263.35,257.77,258.54,553977.0
2020-08-05 20:30:00,260.8,268.62,260.8,265.29,544760.0
2020-08-06 20:30:00,265.08,267.485,261.125,263.0,502214.0
2020-08-07 20:30:00,245.4,248.16,235.18,240.61,1809205.0
2020-08-10 20:30:00,239.45,242.15,229.665,236.4,1101272.0
2020-08-11 20:30:00,238.23,240.34,234.205,234.76,1014977.0
2020-08-12 20:30:00,236.24,236.73,228.41,230.57,1038660.0
2020-08-13 20:30:00,229.3,235.955,228.11,234.63,938134.0
2020-08-14 20:30:00,235.14,240.54,234.12,240.28,998469.0
2020-08-17 20:30:00,241.47,246.66,241.17,245.44,1274106.0
2020-08-18 20:30:00,245.28,246.98,239.38,243.7,800050.0
2020-08-19 20:30:00,243.28,245.84,243.2,244.87,510430.0
2020-08-20 20:30:00,242.55,244.295,240.99,241.21,752623.0
2020-08-21 20:30:00,240.28,241.84,235.96,238.67,742005.0
2020-08-24 20:30:00,240.84,241.02,237.4,240.09,586827.0
2020-08-25 20:30:00,241.23,242.35,238.0,242.35,518216.0
2020-08-26 20:30:00,242.27,245.125,240.15,244.8,546835.0
2020-08-27 20:30:00,244.73,248.02,242.64,248.0,682799.0
2020-08-28 20:30:00,248.05,255.0693,247.675,255.0,555440.0
2020-08-31 20:30:00,255.64,257.11,251.38,251.45,808830.0
2020-09-01 20:30:00,251.43,255.03,249.68,249.99,402704.0
2020-09-02 20:30:00,251.41,254.78,247.77,253.65,510347.0
2020-09-03 20:30:00,253.69,253.69,241.405,246.16,804745.0
2020-09-04 20:30:00,248.29,249.0,237.59,238.04,693495.0
2020-09-08 20:30:00,232.53,237.16,230.81,231.91,925700.0
2020-09-09 20:30:00,235.48,237.41,230.99,234.96,659288.0
2020-09-10 20:30:00,236.48,239.63,232.405,233.21,499124.0
2020-09-11 20:30:00,234.71,235.505,228.01,231.0,562081.0
2020-09-14 20:30:00,234.11,236.31,232.795,235.04,1021460.0
2020-09-15 20:30:00,236.96,239.3433,231.54,232.32,986557.0
2020-09-16 20:30:00,232.96,237.025,232.22,234.49,586599.0
2020-09-17 20:30:00,230.68,236.315,229.13,235.93,487975.0
2020-09-18 20:30:00,236.55,243.28,235.405,241.86,850750.0
2020-09-21 20:30:00,233.86,237.57,230.5,235.44,1109920.0
2020-09-22 20:30:00,236.51,237.43,232.595,236.04,767477.0
2020-09-23 20:30:00,235.4,237.65,232.67,234.0,762130.0
2020-09-24 20:30:00,232.14,235.51,229.44,233.6,825467.0
2020-09-25 20:30:00,232.83,237.295,230.42,236.91,513020.0
2020-09-28 20:30:00,240.83,243.445,239.59,241.71,531101.0
2020-09-29 20:30:00,242.88,243.75,240.31,240.75,1010816.0
2020-09-30 20:30:00,240.34,243.13,235.78,238.1,628376.0
2020-10-01 20:30:00,241.39,243.3,236.62,237.18,508658.0
2020-10-02 20:30:00,232.88,236.02,231.4,234.46,599424.0
2020-10-05 20:30:00,236.63,239.1375,234.94,238.92,616950.0
2020-10-06 20:30:00,241.06,246.255,236.84,238.94,465479.0
2020-10-07 20:30:00,240.93,241.92,239.1,240.9,382367.0
2020-10-08 20:30:00,241.41,245.86,241.41,245.12,410109.0
2020-10-09 20:30:00,247.75,250.215,245.02,247.11,548941.0
2020-10-12 20:30:00,249.28,253.99,248.3628,251.2,496859.0
2020-10-13 20:30:00,249.99,251.44,247.81,248.76,648806.0
2020-10-14 20:30:00,249.34,252.23,247.675,250.19,525762.0
2020-10-15 20:30:00,246.58,248.105,244.67,246.51,469888.0
2020-10-16 20:30:00,248.6,250.11,246.39,249.59,420251.0
2020-10-19 20:30:00,251.13,251.18,239.76,241.55,689339.0
2020-10-20 20:30:00,243.46,246.09,242.63,242.83,328812.0
2020-10-21 20:30:00,242.49,249.45,241.8,248.28,594380.0
2020-10-22 20:30:00,249.29,257.8,246.31,256.84,741405.0
